Symbol,Name,IPO Year,Sector,Industry
A,Agilent Technologies Inc. Common Stock,1999.0,Industrials,Electrical Products
AA,Alcoa Corporation Common Stock ,2016.0,Industrials,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,2021.0,Finance,Business Services
AACG,ATA Creativity Global American Depositary Shares,2008.0,Consumer Discretionary,Service to the Health Industry
AACI,Armada Acquisition Corp. I Common Stock,2021.0,Industrials,Consumer Electronics/Appliances
AACIW,Armada Acquisition Corp. I Warrant,2021.0,Industrials,Consumer Electronics/Appliances
AAN,Aarons Holdings Company Inc. Common Stock ,2020.0,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,2013.0,Technology,Semiconductors
AAPL,Apple Inc. Common Stock,1980.0,Technology,Computer Manufacturing
AAQC,Accelerate Acquisition Corp. Class A Common Stock,2021.0,Industrials,Consumer Electronics/Appliances
AAT,American Assets Trust Inc. Common Stock,2011.0,Real Estate,Real Estate Investment Trusts
ABBV,AbbVie Inc. Common Stock,2012.0,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,1994.0,Finance,Major Banks
ABCM,Abcam plc American Depositary Shares,2020.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),2013.0,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,2002.0,Consumer Discretionary,Other Specialty Stores
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,2021.0,Finance,Business Services
ABNB,Airbnb Inc. Class A Common Stock,2020.0,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,2004.0,Real Estate,Real Estate Investment Trusts
ABSI,Absci Corporation Common Stock,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
ABTX,Allegiance Bancshares Inc. Common Stock,2015.0,Finance,Major Banks
AC,Associated Capital Group Inc. Common Stock,2015.0,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,2018.0,Industrials,Engineering & Construction
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,2022.0,Industrials,Consumer Electronics/Appliances
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,2022.0,Industrials,Consumer Electronics/Appliances
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,2022.0,Industrials,Consumer Electronics/Appliances
ACACU,Acri Capital Acquisition Corporation Unit,2022.0,Industrials,Consumer Electronics/Appliances
ACACW,Acri Capital Acquisition Corporation Warrant,2022.0,Industrials,Consumer Electronics/Appliances
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,2004.0,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,2021.0,Industrials,Consumer Electronics/Appliances
ACAHU,Atlantic Coastal Acquisition Corp. Unit,2021.0,Industrials,Consumer Electronics/Appliances
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,2021.0,Industrials,Consumer Electronics/Appliances
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,2022.0,Industrials,Consumer Electronics/Appliances
ACAXR,Alset Capital Acquisition Corp. Right,2022.0,Industrials,Consumer Electronics/Appliances
ACAXU,Alset Capital Acquisition Corp. Unit,2022.0,Industrials,Consumer Electronics/Appliances
ACAXW,Alset Capital Acquisition Corp. Warrant,2022.0,Industrials,Consumer Electronics/Appliances
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,2021.0,Consumer Discretionary,Business Services
ACBAU,Ace Global Business Acquisition Limited Unit,2021.0,Finance,Business Services
ACBAW,Ace Global Business Acquisition Limited Warrant,2021.0,Consumer Discretionary,Catalog/Specialty Distribution
ACCD,Accolade Inc. Common Stock,2020.0,Technology,Interactive Media
ACEL,Accel Entertainment Inc. ,2017.0,Consumer Discretionary,Recreational Games/Products/Toys
ACET,Adicet Bio Inc. Common Stock ,2018.0,Health Care,Biotechnology: Pharmaceutical Preparations
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,2020.0,Technology,Semiconductors
ACEVU,ACE Convergence Acquisition Corp. Unit,2020.0,Technology,Semiconductors
ACEVW,ACE Convergence Acquisition Corp. Warrant,2020.0,Technology,Semiconductors
ACH,Aluminum Corporation of China Limited American Depositary Shares,2001.0,Industrials,Aluminum
ACHL,Achilles Therapeutics plc American Depositary Shares,2021.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,2020.0,Industrials,Aerospace
ACI,Albertsons Companies Inc. Class A Common Stock,2020.0,Consumer Staples,Food Chains
ACII,Atlas Crest Investment Corp. II Class A Common Stock,2021.0,Industrials,Consumer Electronics/Appliances
ACIU,AC Immune SA Common Stock,2016.0,Health Care,Biotechnology: Pharmaceutical Preparations
ACKIT,Ackrell SPAC Partners I Co. Subunits,2021.0,Industrials,Consumer Electronics/Appliances
ACKIU,Ackrell SPAC Partners I Co. Units,2020.0,Industrials,Consumer Electronics/Appliances
ACKIW,Ackrell SPAC Partners I Co. Warrants,2021.0,Industrials,Consumer Electronics/Appliances
ACLS,Axcelis Technologies Inc. Common Stock,2000.0,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,2022.0,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM Common Stock,2007.0,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,2017.0,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),2001.0,Technology,EDP Services
ACON,Aclarion Inc. Common Stock,2022.0,Technology,Retail: Computer Software & Peripheral Equipment
ACONW,Aclarion Inc. Warrant,2022.0,Technology,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeutics Inc. Common Stock,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,abrdn Income Credit Strategies Fund Common Shares,2011.0,Finance,Investment Managers
ACQR,Independence Holdings Corp. Class A Ordinary Share,2021.0,Finance,Business Services
ACQRU,Independence Holdings Corp. Units,2021.0,Finance,Business Services
ACQRW,Independence Holdings Corp. Warrant,2021.0,Finance,Business Services
ACRE,Ares Commercial Real Estate Corporation Common Stock,2012.0,Real Estate,Real Estate Investment Trusts
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,2021.0,Industrials,Consumer Electronics/Appliances
ACRS,Aclaris Therapeutics Inc. Common Stock,2015.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,2011.0,Consumer Discretionary,Specialty Chemicals
ACT,Enact Holdings Inc. Common Stock,2021.0,Finance,Specialty Insurers
ACU,Acme United Corporation. Common Stock,1988.0,Consumer Discretionary,Home Furnishings
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,2015.0,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,2021.0,Industrials,Metal Fabrications
ACXP,Acurx Pharmaceuticals Inc. Common Stock,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,1986.0,Technology,Computer Software: Prepackaged Software
ADCT,ADC Therapeutics SA Common Shares,2020.0,Health Care,Biotechnology: Pharmaceutical Preparations
ADER,26 Capital Acquisition Corp. Class A Common Stock,2021.0,Industrials,Consumer Electronics/Appliances
ADERU,26 Capital Acquisition Corp. Unit,2021.0,Industrials,Consumer Electronics/Appliances
ADERW,26 Capital Acquisition Corp. Warrant,2021.0,Industrials,Consumer Electronics/Appliances
ADEX,Adit EdTech Acquisition Corp. Common Stock,2021.0,Industrials,Consumer Electronics/Appliances
ADGI,Adagio Therapeutics Inc. Common Stock,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
ADIL,Adial Pharmaceuticals Inc Common Stock,2018.0,Health Care,Biotechnology: Pharmaceutical Preparations
ADN,Advent Technologies Holdings Inc. Class A Common Stock,2018.0,Utilities,Power Generation
ADNT,Adient plc Ordinary Shares ,2016.0,Consumer Discretionary,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,2018.0,Utilities,Power Generation
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,2020.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADOCR,Edoc Acquisition Corp. Right,2020.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
